dep;week;P;T;cl_age90;pop
01;2020-S27;1;78;90;7395
01;2020-S27;21;3124;0;656955
01;2020-S28;1;506;09;83001
01;2020-S28;2;332;19;84665
01;2020-S28;4;428;29;65496
01;2020-S28;2;603;39;85588
01;2020-S28;2;413;49;89678
01;2020-S28;1;351;59;89791
01;2020-S28;2;318;69;73500
01;2020-S28;1;229;79;51011
01;2020-S28;2;207;89;26830
01;2020-S28;0;103;90;7395
01;2020-S28;17;3491;0;656955
01;2020-S29;0;222;09;83001
01;2020-S29;1;337;19;84665
01;2020-S29;0;436;29;65496
01;2020-S29;4;582;39;85588
01;2020-S29;3;430;49;89678
01;2020-S29;1;386;59;89791
01;2020-S29;2;349;69;73500
01;2020-S29;0;228;79;51011
01;2020-S29;2;169;89;26830
01;2020-S29;0;70;90;7395
01;2020-S29;13;3209;0;656955
01;2020-S30;0;212;09;83001
01;2020-S30;2;374;19;84665
01;2020-S30;14;553;29;65496
01;2020-S30;11;532;39;85588
01;2020-S30;7;471;49;89678
01;2020-S30;6;387;59;89791
01;2020-S30;5;384;69;73500
01;2020-S30;2;290;79;51011
01;2020-S30;1;198;89;26830
01;2020-S30;1;75;90;7395
01;2020-S30;49;3478;0;656955
01;2020-S31;5;217;09;83001
01;2020-S31;3;531;19;84665
01;2020-S31;21;614;29;65496
01;2020-S31;16;674;39;85588
01;2020-S31;7;556;49;89678
01;2020-S31;10;517;59;89791
01;2020-S31;3;422;69;73500
01;2020-S31;6;279;79;51011
01;2020-S31;0;205;89;26830
01;2020-S31;0;67;90;7395
01;2020-S31;71;4083;0;656955
01;2020-S32;3;212;09;83001
01;2020-S32;7;437;19;84665
01;2020-S32;18;633;29;65496
01;2020-S32;9;634;39;85588
01;2020-S32;9;552;49;89678
01;2020-S32;9;553;59;89791
01;2020-S32;5;426;69;73500
01;2020-S32;2;285;79;51011
01;2020-S32;2;174;89;26830
01;2020-S32;2;78;90;7395
01;2020-S32;66;3984;0;656955
01;2020-S33;3;182;09;83001
01;2020-S33;11;460;19;84665
01;2020-S33;37;790;29;65496
01;2020-S33;10;629;39;85588
01;2020-S33;12;521;49;89678
01;2020-S33;9;463;59;89791
01;2020-S33;8;381;69;73500
01;2020-S33;0;276;79;51011
01;2020-S33;0;173;89;26830
01;2020-S33;0;101;90;7395
01;2020-S33;90;3976;0;656955
01;2020-S34;7;248;09;83001
01;2020-S34;23;731;19;84665
01;2020-S34;53;1090;29;65496
01;2020-S34;37;985;39;85588
01;2020-S34;22;786;49;89678
01;2020-S34;24;705;59;89791
01;2020-S34;9;501;69;73500
01;2020-S34;4;337;79;51011
01;2020-S34;2;232;89;26830
01;2020-S34;0;96;90;7395
01;2020-S34;181;5714;0;656955
01;2020-S35;14;317;09;83001
01;2020-S35;46;920;19;84665
01;2020-S35;87;1380;29;65496
01;2020-S35;46;1185;39;85588
01;2020-S35;35;1098;49;89678
01;2020-S35;35;969;59;89791
01;2020-S35;10;660;69;73500
01;2020-S35;13;425;79;51011
01;2020-S35;17;270;89;26830
01;2020-S35;20;147;90;7395
01;2020-S35;323;7371;0;656955
01;2020-S36;23;458;09;83001
01;2020-S36;79;865;19;84665
01;2020-S36;104;1630;29;65496
01;2020-S36;81;1436;39;85588
01;2020-S36;69;1313;49;89678
01;2020-S36;52;1284;59;89791
01;2020-S36;23;807;69;73500
01;2020-S36;21;568;79;51011
01;2020-S36;9;342;89;26830
01;2020-S36;2;124;90;7395
01;2020-S36;463;8827;0;656955
01;2020-S37;27;1337;09;83001
01;2020-S37;65;1448;19;84665
01;2020-S37;94;1604;29;65496
01;2020-S37;90;1792;39;85588
01;2020-S37;65;1356;49;89678
01;2020-S37;85;1255;59;89791
01;2020-S37;43;769;69;73500
01;2020-S37;18;585;79;51011
01;2020-S37;8;432;89;26830
01;2020-S37;5;227;90;7395
01;2020-S37;500;10805;0;656955
01;2020-S38;48;1049;09;83001
01;2020-S38;88;1848;19;84665
01;2020-S38;118;1604;29;65496
01;2020-S38;114;1869;39;85588
01;2020-S38;126;1581;49;89678
01;2020-S38;79;1289;59;89791
01;2020-S38;32;882;69;73500
01;2020-S38;35;626;79;51011
01;2020-S38;15;432;89;26830
01;2020-S38;5;225;90;7395
01;2020-S38;660;11405;0;656955
01;2020-S39;15;394;09;83001
01;2020-S39;65;1596;19;84665
01;2020-S39;131;1414;29;65496
01;2020-S39;65;1398;39;85588
01;2020-S39;78;1238;49;89678
01;2020-S39;82;1112;59;89791
01;2020-S39;48;751;69;73500
01;2020-S39;29;569;79;51011
01;2020-S39;10;376;89;26830
01;2020-S39;4;175;90;7395
01;2020-S39;527;9023;0;656955
01;2020-S40;14;251;09;83001
01;2020-S40;94;1371;19;84665
01;2020-S40;123;1442;29;65496
01;2020-S40;95;1188;39;85588
01;2020-S40;97;1086;49;89678
01;2020-S40;86;1034;59;89791
01;2020-S40;45;719;69;73500
01;2020-S40;25;504;79;51011
01;2020-S40;13;290;89;26830
01;2020-S40;9;138;90;7395
01;2020-S40;601;8024;0;656955
01;2020-S41;27;348;09;83001
01;2020-S41;156;1908;19;84665
01;2020-S41;197;1532;29;65496
01;2020-S41;203;1566;39;85588
01;2020-S41;220;1445;49;89678
01;2020-S41;181;1300;59;89791
01;2020-S41;133;977;69;73500
01;2020-S41;76;647;79;51011
01;2020-S41;59;444;89;26830
01;2020-S41;41;236;90;7395
01;2020-S41;1293;10405;0;656955
01;2020-S42;45;519;09;83001
01;2020-S42;330;2903;19;84665
01;2020-S42;357;2285;29;65496
01;2020-S42;395;2584;39;85588
01;2020-S42;380;2481;49;89678
01;2020-S42;383;2275;59;89791
01;2020-S42;301;1380;69;73500
01;2020-S42;153;884;79;51011
01;2020-S42;123;631;89;26830
01;2020-S42;76;399;90;7395
01;2020-S42;2543;16343;0;656955
01;2020-S43;72;642;09;83001
01;2020-S43;449;2794;19;84665
01;2020-S43;663;3097;29;65496
01;2020-S43;695;3331;39;85588
01;2020-S43;746;3240;49;89678
01;2020-S43;789;2975;59;89791
01;2020-S43;546;1934;69;73500
01;2020-S43;369;1256;79;51011
01;2020-S43;233;821;89;26830
01;2020-S43;121;509;90;7395
01;2020-S43;4684;20601;0;656955
01;2020-S44;125;705;09;83001
01;2020-S44;627;2879;19;84665
01;2020-S44;861;3803;29;65496
01;2020-S44;954;3964;39;85588
01;2020-S44;1037;3832;49;89678
01;2020-S44;1006;3686;59;89791
01;2020-S44;638;2291;69;73500
01;2020-S44;429;1440;79;51011
01;2020-S44;324;1093;89;26830
01;2020-S44;173;696;90;7395
01;2020-S44;6174;24391;0;656955
01;2020-S45;157;887;09;83001
01;2020-S45;704;3402;19;84665
01;2020-S45;736;3516;29;65496
01;2020-S45;786;3750;39;85588
01;2020-S45;867;3774;49;89678
01;2020-S45;897;3629;59;89791
01;2020-S45;622;2270;69;73500
01;2020-S45;401;1485;79;51011
01;2020-S45;298;1123;89;26830
01;2020-S45;143;663;90;7395
01;2020-S45;5611;24499;0;656955
01;2020-S46;87;718;09;83001
01;2020-S46;403;3076;19;84665
01;2020-S46;312;2088;29;65496
01;2020-S46;363;2336;39;85588
01;2020-S46;385;2508;49;89678
01;2020-S46;466;2429;59;89791
01;2020-S46;325;1533;69;73500
01;2020-S46;242;1020;79;51011
01;2020-S46;183;828;89;26830
01;2020-S46;138;520;90;7395
01;2020-S46;2904;17058;0;656955
01;2020-S47;67;544;09;83001
01;2020-S47;257;2424;19;84665
01;2020-S47;230;1791;29;65496
01;2020-S47;279;2058;39;85588
01;2020-S47;289;2113;49;89678
01;2020-S47;270;1919;59;89791
01;2020-S47;188;1229;69;73500
01;2020-S47;98;793;79;51011
01;2020-S47;110;667;89;26830
01;2020-S47;78;432;90;7395
01;2020-S47;1866;13972;0;656955
01;2020-S48;38;401;09;83001
01;2020-S48;180;1568;19;84665
01;2020-S48;136;1287;29;65496
01;2020-S48;160;1491;39;85588
01;2020-S48;168;1454;49;89678
01;2020-S48;194;1427;59;89791
01;2020-S48;123;996;69;73500
01;2020-S48;86;770;79;51011
01;2020-S48;86;626;89;26830
01;2020-S48;65;461;90;7395
01;2020-S48;1236;10481;0;656955
01;2020-S49;54;379;09;83001
01;2020-S49;125;1240;19;84665
01;2020-S49;120;1163;29;65496
01;2020-S49;140;1359;39;85588
01;2020-S49;131;1254;49;89678
01;2020-S49;135;1256;59;89791
01;2020-S49;95;901;69;73500
01;2020-S49;58;657;79;51011
01;2020-S49;58;537;89;26830
01;2020-S49;37;346;90;7395
01;2020-S49;953;9094;0;656955
01;2020-S50;37;389;09;83001
01;2020-S50;144;1463;19;84665
01;2020-S50;145;1473;29;65496
01;2020-S50;154;1686;39;85588
01;2020-S50;146;1576;49;89678
01;2020-S50;156;1539;59;89791
01;2020-S50;107;1124;69;73500
01;2020-S50;64;809;79;51011
01;2020-S50;62;574;89;26830
01;2020-S50;30;269;90;7395
01;2020-S50;1045;10905;0;656955
01;2020-S51;46;992;09;83001
01;2020-S51;216;5824;19;84665
01;2020-S51;160;3098;29;65496
01;2020-S51;207;4495;39;85588
01;2020-S51;227;4985;49;89678
01;2020-S51;203;4577;59;89791
01;2020-S51;146;4286;69;73500
01;2020-S51;104;3224;79;51011
01;2020-S51;61;1232;89;26830
01;2020-S51;42;368;90;7395
01;2020-S51;1412;33092;0;656955
01;2020-S52;35;997;09;83001
01;2020-S52;127;3744;19;84665
01;2020-S52;123;3585;29;65496
01;2020-S52;138;4370;39;85588
01;2020-S52;149;4664;49;89678
01;2020-S52;138;4049;59;89791
01;2020-S52;80;3007;69;73500
01;2020-S52;73;2178;79;51011
01;2020-S52;46;1002;89;26830
01;2020-S52;39;369;90;7395
01;2020-S52;948;27969;0;656955
01;2020-S53;25;380;09;83001
01;2020-S53;113;1611;19;84665
01;2020-S53;165;2380;29;65496
01;2020-S53;157;2071;39;85588
01;2020-S53;173;1916;49;89678
01;2020-S53;144;1906;59;89791
01;2020-S53;115;1555;69;73500
01;2020-S53;50;979;79;51011
01;2020-S53;56;630;89;26830
01;2020-S53;44;378;90;7395
01;2020-S53;1042;13806;0;656955
01;2021-S01;39;386;09;83001
01;2021-S01;194;1700;19;84665
01;2021-S01;200;2352;29;65496
01;2021-S01;210;2315;39;85588
01;2021-S01;193;2147;49;89678
01;2021-S01;197;2206;59;89791
01;2021-S01;148;1599;69;73500
01;2021-S01;104;1113;79;51011
01;2021-S01;100;714;89;26830
01;2021-S01;47;315;90;7395
01;2021-S01;1432;14848;0;656955
01;2021-S02;59;524;09;83001
01;2021-S02;169;1891;19;84665
01;2021-S02;169;1934;29;65496
01;2021-S02;199;2091;39;85588
01;2021-S02;203;2006;49;89678
01;2021-S02;187;2050;59;89791
01;2021-S02;135;1465;69;73500
01;2021-S02;100;1077;79;51011
01;2021-S02;62;649;89;26830
01;2021-S02;30;279;90;7395
01;2021-S02;1313;13967;0;656955
01;2021-S03;95;735;09;83001
01;2021-S03;197;1994;19;84665
01;2021-S03;175;1842;29;65496
01;2021-S03;248;2361;39;85588
01;2021-S03;219;2096;49;89678
01;2021-S03;220;2070;59;89791
01;2021-S03;127;1460;69;73500
01;2021-S03;83;1090;79;51011
01;2021-S03;67;670;89;26830
01;2021-S03;46;318;90;7395
01;2021-S03;1477;14636;0;656955
02;2020-S21;0;47;09;62312
02;2020-S21;1;56;19;67540
02;2020-S21;4;178;29;51443
02;2020-S21;1;204;39;62599
02;2020-S21;7;203;49;64812
02;2020-S21;6;175;59;70352
02;2020-S21;8;143;69;69077
02;2020-S21;4;102;79;45371
02;2020-S21;9;143;89;25627
02;2020-S21;1;57;90;6917
02;2020-S21;41;1308;0;526050
02;2020-S22;2;32;09;62312
02;2020-S22;0;86;19;67540
02;2020-S22;3;207;29;51443
02;2020-S22;7;276;39;62599
02;2020-S22;4;275;49;64812
02;2020-S22;4;256;59;70352
02;2020-S22;8;232;69;69077
02;2020-S22;3;186;79;45371
02;2020-S22;6;118;89;25627
02;2020-S22;6;62;90;6917
02;2020-S22;43;1731;0;526050
02;2020-S23;0;41;09;62312
02;2020-S23;0;42;19;67540
02;2020-S23;3;103;29;51443
02;2020-S23;4;124;39;62599
02;2020-S23;1;150;49;64812
02;2020-S23;2;173;59;70352
02;2020-S23;6;153;69;69077
02;2020-S23;4;168;79;45371
02;2020-S23;18;130;89;25627
02;2020-S23;9;81;90;6917
02;2020-S23;47;1165;0;526050
02;2020-S24;0;56;09;62312
02;2020-S24;1;91;19;67540
02;2020-S24;2;165;29;51443
02;2020-S24;1;175;39;62599
02;2020-S24;5;186;49;64812
02;2020-S24;3;226;59;70352
02;2020-S24;5;197;69;69077
02;2020-S24;5;148;79;45371
02;2020-S24;14;177;89;25627
02;2020-S24;4;98;90;6917
02;2020-S24;40;1519;0;526050
02;2020-S25;0;69;09;62312
02;2020-S25;1;123;19;67540
02;2020-S25;4;152;29;51443
02;2020-S25;1;179;39;62599
02;2020-S25;1;170;49;64812
02;2020-S25;0;177;59;70352
02;2020-S25;1;175;69;69077
02;2020-S25;4;158;79;45371
02;2020-S25;8;137;89;25627
02;2020-S25;4;84;90;6917
02;2020-S25;24;1424;0;526050
02;2020-S26;0;63;09;62312
02;2020-S26;0;134;19;67540
02;2020-S26;5;182;29;51443
02;2020-S26;3;201;39;62599
02;2020-S26;3;220;49;64812
02;2020-S26;0;244;59;70352
02;2020-S26;2;300;69;69077
02;2020-S26;5;243;79;45371
02;2020-S26;2;129;89;25627
02;2020-S26;0;60;90;6917
02;2020-S26;20;1776;0;526050
02;2020-S27;3;180;09;62312
02;2020-S27;3;184;19;67540
02;2020-S27;2;233;29;51443
02;2020-S27;2;279;39;62599
02;2020-S27;3;254;49;64812
02;2020-S27;1;269;59;70352
02;2020-S27;2;275;69;69077
02;2020-S27;3;213;79;45371
02;2020-S27;0;194;89;25627
02;2020-S27;1;108;90;6917
02;2020-S27;20;2189;0;526050
02;2020-S28;0;117;09;62312
02;2020-S28;3;175;19;67540
02;2020-S28;4;258;29;51443
02;2020-S28;0;313;39;62599
02;2020-S28;0;293;49;64812
02;2020-S28;3;263;59;70352
02;2020-S28;2;242;69;69077
02;2020-S28;4;188;79;45371
02;2020-S28;5;180;89;25627
02;2020-S28;3;129;90;6917
02;2020-S28;24;2158;0;526050
02;2020-S29;0;87;09;62312
02;2020-S29;0;143;19;67540
02;2020-S29;3;236;29;51443
02;2020-S29;2;270;39;62599
02;2020-S29;1;215;49;64812
02;2020-S29;1;288;59;70352
02;2020-S29;2;244;69;69077
02;2020-S29;0;203;79;45371
02;2020-S29;0;148;89;25627
02;2020-S29;1;59;90;6917
02;2020-S29;10;1893;0;526050
02;2020-S30;1;145;09;62312
02;2020-S30;1;188;19;67540
02;2020-S30;8;301;29;51443
02;2020-S30;3;327;39;62599
02;2020-S30;2;270;49;64812
02;2020-S30;0;270;59;70352
02;2020-S30;3;296;69;69077
02;2020-S30;2;198;79;45371
02;2020-S30;1;134;89;25627
02;2020-S30;2;62;90;6917
02;2020-S30;23;2193;0;526050
02;2020-S31;2;109;09;62312
02;2020-S31;2;219;19;67540
02;2020-S31;0;293;29;51443
02;2020-S31;3;325;39;62599
02;2020-S31;1;296;49;64812
02;2020-S31;1;322;59;70352
02;2020-S31;2;302;69;69077
02;2020-S31;2;257;79;45371
02;2020-S31;3;174;89;25627
02;2020-S31;1;95;90;6917
02;2020-S31;17;2393;0;526050
02;2020-S32;4;105;09;62312
02;2020-S32;4;216;19;67540
02;2020-S32;2;288;29;51443
02;2020-S32;2;305;39;62599
02;2020-S32;6;315;49;64812
02;2020-S32;2;312;59;70352
02;2020-S32;2;296;69;69077
02;2020-S32;6;241;79;45371
02;2020-S32;1;144;89;25627
02;2020-S32;0;48;90;6917
02;2020-S32;29;2270;0;526050
02;2020-S33;0;93;09;62312
02;2020-S33;4;177;19;67540
02;2020-S33;7;276;29;51443
02;2020-S33;1;251;39;62599
02;2020-S33;2;246;49;64812
02;2020-S33;5;253;59;70352
02;2020-S33;5;216;69;69077
02;2020-S33;2;211;79;45371
02;2020-S33;1;139;89;25627
02;2020-S33;0;53;90;6917
02;2020-S33;27;1915;0;526050
02;2020-S34;2;83;09;62312
02;2020-S34;4;356;19;67540
02;2020-S34;34;499;29;51443
02;2020-S34;6;410;39;62599
02;2020-S34;8;459;49;64812
02;2020-S34;6;424;59;70352
02;2020-S34;3;357;69;69077
02;2020-S34;2;266;79;45371
02;2020-S34;1;194;89;25627
02;2020-S34;2;73;90;6917
02;2020-S34;68;3122;0;526050
02;2020-S35;4;92;09;62312
02;2020-S35;8;312;19;67540
02;2020-S35;25;507;29;51443
02;2020-S35;16;488;39;62599
02;2020-S35;17;475;49;64812
02;2020-S35;10;505;59;70352
02;2020-S35;4;397;69;69077
02;2020-S35;5;287;79;45371
02;2020-S35;3;194;89;25627
02;2020-S35;0;82;90;6917
02;2020-S35;92;3339;0;526050
02;2020-S36;4;174;09;62312
02;2020-S36;24;364;19;67540
02;2020-S36;25;627;29;51443
02;2020-S36;26;632;39;62599
02;2020-S36;13;602;49;64812
02;2020-S36;14;612;59;70352
02;2020-S36;4;460;69;69077
02;2020-S36;6;292;79;45371
02;2020-S36;1;178;89;25627
02;2020-S36;0;85;90;6917
02;2020-S36;117;4026;0;526050
02;2020-S37;8;584;09;62312
02;2020-S37;38;887;19;67540
02;2020-S37;61;936;29;51443
02;2020-S37;21;970;39;62599
02;2020-S37;24;817;49;64812
02;2020-S37;15;703;59;70352
02;2020-S37;17;523;69;69077
02;2020-S37;8;380;79;45371
02;2020-S37;1;256;89;25627
02;2020-S37;2;105;90;6917
02;2020-S37;195;6161;0;526050
02;2020-S38;13;632;09;62312
02;2020-S38;59;1443;19;67540
02;2020-S38;61;1097;29;51443
02;2020-S38;32;1158;39;62599
02;2020-S38;25;1046;49;64812
02;2020-S38;23;852;59;70352
02;2020-S38;14;561;69;69077
02;2020-S38;13;410;79;45371
02;2020-S38;5;245;89;25627
02;2020-S38;3;112;90;6917
02;2020-S38;248;7558;0;526050
02;2020-S39;8;216;09;62312
02;2020-S39;46;978;19;67540
02;2020-S39;47;886;29;51443
02;2020-S39;36;822;39;62599
02;2020-S39;33;746;49;64812
02;2020-S39;34;715;59;70352
02;2020-S39;22;509;69;69077
02;2020-S39;20;390;79;45371
02;2020-S39;8;262;89;25627
02;2020-S39;1;135;90;6917
02;2020-S39;255;5659;0;526050
02;2020-S40;14;162;09;62312
02;2020-S40;42;796;19;67540
02;2020-S40;44;771;29;51443
02;2020-S40;42;697;39;62599
02;2020-S40;51;702;49;64812
02;2020-S40;33;651;59;70352
02;2020-S40;23;528;69;69077
02;2020-S40;14;371;79;45371
02;2020-S40;4;218;89;25627
02;2020-S40;2;107;90;6917
02;2020-S40;269;5006;0;526050
02;2020-S41;11;214;09;62312
02;2020-S41;73;1059;19;67540
02;2020-S41;89;1021;29;51443
02;2020-S41;92;1028;39;62599
02;2020-S41;85;980;49;64812
02;2020-S41;84;859;59;70352
02;2020-S41;67;692;69;69077
02;2020-S41;25;476;79;45371
02;2020-S41;14;270;89;25627
02;2020-S41;3;99;90;6917
02;2020-S41;543;6698;0;526050
02;2020-S42;24;240;09;62312
02;2020-S42;102;1395;19;67540
02;2020-S42;166;1402;29;51443
02;2020-S42;148;1436;39;62599
02;2020-S42;135;1330;49;64812
02;2020-S42;126;1204;59;70352
02;2020-S42;97;921;69;69077
02;2020-S42;75;636;79;45371
02;2020-S42;28;405;89;25627
02;2020-S42;14;208;90;6917
02;2020-S42;915;9178;0;526050
02;2020-S43;32;260;09;62312
02;2020-S43;157;1235;19;67540
02;2020-S43;212;1663;29;51443
02;2020-S43;257;1837;39;62599
02;2020-S43;238;1721;49;64812
02;2020-S43;221;1539;59;70352
02;2020-S43;150;1019;69;69077
02;2020-S43;111;767;79;45371
02;2020-S43;93;553;89;25627
02;2020-S43;55;354;90;6917
02;2020-S43;1526;10952;0;526050
02;2020-S44;36;362;09;62312
02;2020-S44;172;1409;19;67540
02;2020-S44;237;2000;29;51443
02;2020-S44;280;2064;39;62599
02;2020-S44;269;1872;49;64812
02;2020-S44;266;1900;59;70352
02;2020-S44;210;1347;69;69077
02;2020-S44;156;849;79;45371
02;2020-S44;64;607;89;25627
02;2020-S44;24;347;90;6917
02;2020-S44;1715;12763;0;526050
02;2020-S45;50;436;09;62312
02;2020-S45;209;1637;19;67540
02;2020-S45;233;1918;29;51443
02;2020-S45;223;2090;39;62599
02;2020-S45;284;2060;49;64812
02;2020-S45;272;2043;59;70352
02;2020-S45;203;1437;69;69077
02;2020-S45;133;1010;79;45371
02;2020-S45;98;708;89;25627
02;2020-S45;51;407;90;6917
02;2020-S45;1756;13747;0;526050
02;2020-S46;45;410;09;62312
02;2020-S46;177;1555;19;67540
02;2020-S46;134;1375;29;51443
02;2020-S46;161;1539;39;62599
02;2020-S46;195;1636;49;64812
02;2020-S46;152;1499;59;70352
02;2020-S46;133;1066;69;69077
02;2020-S46;75;709;79;45371
02;2020-S46;57;491;89;25627
02;2020-S46;25;252;90;6917
02;2020-S46;1154;10533;0;526050
02;2020-S47;37;377;09;62312
02;2020-S47;137;1417;19;67540
02;2020-S47;94;1131;29;51443
02;2020-S47;112;1427;39;62599
02;2020-S47;101;1271;49;64812
02;2020-S47;128;1339;59;70352
02;2020-S47;80;1002;69;69077
02;2020-S47;63;758;79;45371
02;2020-S47;66;592;89;25627
02;2020-S47;27;351;90;6917
02;2020-S47;845;9665;0;526050
02;2020-S48;28;297;09;62312
02;2020-S48;80;1161;19;67540
02;2020-S48;83;1118;29;51443
02;2020-S48;79;1242;39;62599
02;2020-S48;82;1179;49;64812
02;2020-S48;98;1174;59;70352
02;2020-S48;64;1022;69;69077
02;2020-S48;64;763;79;45371
02;2020-S48;51;510;89;25627
02;2020-S48;30;273;90;6917
02;2020-S48;660;8743;0;526050
02;2020-S49;19;218;09;62312
02;2020-S49;68;964;19;67540
02;2020-S49;103;1039;29;51443
02;2020-S49;85;1171;39;62599
02;2020-S49;109;1136;49;64812
02;2020-S49;97;1147;59;70352
02;2020-S49;62;905;69;69077
02;2020-S49;58;776;79;45371
02;2020-S49;62;550;89;25627
02;2020-S49;41;408;90;6917
02;2020-S49;704;8316;0;526050
02;2020-S50;15;234;09;62312
02;2020-S50;147;1219;19;67540
02;2020-S50;99;1154;29;51443
02;2020-S50;128;1475;39;62599
02;2020-S50;134;1321;49;64812
02;2020-S50;119;1359;59;70352
02;2020-S50;91;1162;69;69077
02;2020-S50;72;878;79;45371
02;2020-S50;86;675;89;25627
02;2020-S50;43;409;90;6917
02;2020-S50;934;9891;0;526050
02;2020-S51;38;419;09;62312
02;2020-S51;144;1827;19;67540
02;2020-S51;142;1933;29;51443
02;2020-S51;233;2419;39;62599
02;2020-S51;220;2353;49;64812
02;2020-S51;214;2303;59;70352
02;2020-S51;159;1716;69;69077
02;2020-S51;93;1320;79;45371
02;2020-S51;110;922;89;25627
02;2020-S51;42;464;90;6917
02;2020-S51;1395;15676;0;526050
02;2020-S52;29;464;09;62312
02;2020-S52;84;1794;19;67540
02;2020-S52;114;2425;29;51443
02;2020-S52;122;2715;39;62599
02;2020-S52;128;2704;49;64812
02;2020-S52;122;2566;59;70352
02;2020-S52;83;2175;69;69077
02;2020-S52;75;1482;79;45371
02;2020-S52;67;804;89;25627
02;2020-S52;39;385;90;6917
02;2020-S52;863;17515;0;526050
02;2020-S53;23;258;09;62312
02;2020-S53;104;1265;19;67540
02;2020-S53;127;1953;29;51443
02;2020-S53;127;1811;39;62599
02;2020-S53;130;1674;49;64812
02;2020-S53;150;1741;59;70352
02;2020-S53;103;1402;69;69077
02;2020-S53;67;953;79;45371
02;2020-S53;65;709;89;25627
02;2020-S53;34;387;90;6917
02;2020-S53;930;12153;0;526050
02;2021-S01;31;318;09;62312
02;2021-S01;138;1484;19;67540
02;2021-S01;137;1989;29;51443
02;2021-S01;143;2020;39;62599
02;2021-S01;146;1899;49;64812
02;2021-S01;150;1945;59;70352
02;2021-S01;100;1628;69;69077
02;2021-S01;82;1097;79;45371
02;2021-S01;56;801;89;25627
02;2021-S01;34;458;90;6917
02;2021-S01;1017;13639;0;526050
02;2021-S02;42;426;09;62312
02;2021-S02;157;1710;19;67540
02;2021-S02;136;1925;29;51443
02;2021-S02;169;2165;39;62599
02;2021-S02;156;1952;49;64812
02;2021-S02;153;1996;59;70352
02;2021-S02;129;1434;69;69077
02;2021-S02;90;1072;79;45371
02;2021-S02;83;737;89;25627
02;2021-S02;41;403;90;6917
02;2021-S02;1156;13820;0;526050
02;2021-S03;49;575;09;62312
02;2021-S03;165;2123;19;67540
02;2021-S03;172;1854;29;51443
02;2021-S03;167;2178;39;62599
02;2021-S03;190;1997;49;64812
02;2021-S03;202;1990;59;70352
02;2021-S03;146;1565;69;69077
02;2021-S03;130;1139;79;45371
02;2021-S03;97;855;89;25627
02;2021-S03;35;477;90;6917
02;2021-S03;1353;14753;0;526050
03;2020-S21;0;41;09;30871
03;2020-S21;0;49;19;35788
03;2020-S21;14;213;29;28141
03;2020-S21;7;140;39;33349
03;2020-S21;1;144;49;39464
03;2020-S21;1;163;59;45840
03;2020-S21;0;127;69;48958
03;2020-S21;2;108;79;38220
03;2020-S21;2;99;89;23577
